price,street,number,city,sqft,bedrooms,baths,corner,pool,lakeshore,foreclosed,recorded
389.5,Balboa Ct,4208,Arlington,3857,4,3,0,0,0,0,9/24/2014
461.2,Balboa Ct,4210,Arlington,3764,4,3,0,0,0,0,9/24/2014
606.3,Balboa Ct,4212,Arlington,4842,4,3,0,0,0,0,9/25/2014
429.6,Balboa Ct,4214,Arlington,4397,4,4,0,0,0,0,9/25/2014
444.2,Balboa Ct,4215,Arlington,3496,4,2,0,0,0,0,9/25/2014
511.8,Balboa Ct,4219,Arlington,3789,3,2,0,0,0,0,9/25/2014
561.8,Balboa Ct,4218,Arlington,4706,4,3,0,0,0,0,9/25/2014
382.7,Balboa Ct,4220,Arlington,4725,4,3,0,0,0,0,9/25/2014
539.0,Tidal Trace,7306,Arlington,4462,4,3,1,0,0,0,9/25/2014
449.8,Tidal Trace,7305,Arlington,3749,4,4.5,1,0,0,0,9/25/2014
393.6,Tidal Trace,7304,Arlington,3999,4,3,0,0,0,0,9/25/2014
489.8,Tidal Trace,7303,Arlington,4529,3,4,0,0,0,0,9/25/2014
580.1,Tidal Trace,7302,Arlington,4728,4,3,0,1,0,0,9/25/2014
472.6,Tidal Trace,7301,Arlington,4804,4,3.5,1,0,0,0,9/25/2014
422.4,Tidal Trace,7300,Arlington,2857,4,3.5,1,1,0,0,9/25/2014
739.5,Grand Lake Ct,7200,Arlington,5029,4,3,0,0,0,0,9/26/2014
433.1,Grand Lake Ct,7201,Arlington,4265,5,4,0,1,0,0,9/26/2014
303.8,Lake Havasu Ct,7204,Arlington,3590,3,3,0,1,0,0,9/26/2014
324.2,Lake Havasu Ct,7205,Arlington,3651,5,4.5,0,0,0,0,9/26/2014
535.7,Lake Havasu Ct,7200,Arlington,3979,4,4,0,1,0,0,9/26/2014
355.6,Lake Havasu Ct,7203,Arlington,4051,4,4.5,0,0,0,0,9/26/2014
331.7,Lake Havasu Ct,7201,Arlington,3542,4,3,0,1,0,0,9/26/2014
363.7,Squaro Lake Ct,2708,Arlington,3805,3,2,0,1,0,0,9/27/2014
364.4,Squaro Lake Ct,7209,Arlington,4152,4,4,0,0,0,0,9/27/2014
340.1,Squaro Lake Ct,7206,Arlington,3830,5,4.5,0,1,0,0,9/27/2014
396.9,Squaro Lake Ct,7207,Arlington,4307,5,5,0,1,0,0,9/27/2014
352.9,Squaro Lake Ct,7204,Arlington,3560,4,3,0,1,0,0,9/27/2014
360.0,Squaro Lake Ct,7205,Arlington,4022,4,4.5,0,1,0,0,9/27/2014
386.5,Squaro Lake Ct,7203,Arlington,3990,5,4.5,0,1,0,0,9/27/2014
402.8,Squaro Lake Ct,7201,Arlington,3903,4,3,0,1,0,0,9/27/2014
354.1,Squaro Lake Ct,7200,Arlington,4077,4,3.5,0,1,0,0,9/27/2014
292.4,Lake Mead Blvd,7209,Arlington,3026,4,3,0,0,0,0,9/30/2014
271.9,Lake Mead Blvd,7210,Arlington,2875,5,3,0,0,0,0,9/30/2014
329.3,Lake Mead Blvd,7207,Arlington,3748,3,2,0,1,0,0,9/30/2014
226.3,Lake Mead Blvd,7208,Arlington,2468,3,2,0,0,0,0,9/30/2014
254.7,Lake Mead Blvd,7205,Arlington,2924,3,3,0,0,0,0,9/30/2014
265.1,Lake Mead Blvd,7204,Arlington,3119,5,3,0,0,0,0,9/30/2014
247.4,Lake Mead Blvd,7203,Arlington,3189,3,2,0,0,0,0,9/30/2014
241.8,Lake Mead Blvd,7202,Arlington,3097,3,2,0,0,0,0,9/30/2014
187.6,Lake Mead Blvd,7201,Arlington,2424,3,2,1,0,0,0,9/30/2014
269.3,Lake Mead Blvd,7200,Arlington,2913,4,3,0,1,0,0,9/30/2014
219.0,Lake Mead Blvd,7107,Arlington,2793,4,3,1,0,0,0,9/30/2014
229.4,Lake Mead Blvd,7106,Arlington,2626,4,3,0,0,0,0,9/30/2014
248.2,Lake Champlain Dr,3611,Arlington,3164,3,2,0,0,0,0,10/1/2014
248.2,Lake Champlain Dr,3609,Arlington,3145,3,2,0,0,0,0,10/1/2014
266.0,Lake Champlain Dr,3606,Arlington,3428,3,2,0,0,0,0,10/1/2014
258.8,Lake Champlain Dr,3607,Arlington,3336,4,2.5,0,1,0,0,10/1/2014
259.1,Lake Champlain Dr,3604,Arlington,3155,4,2,0,0,0,0,10/1/2014
249.1,Lake Champlain Dr,3604,Arlington,3155,4,2,0,0,0,0,10/1/2014
226.9,Lake Champlain Dr,3605,Arlington,2866,3,2,0,0,0,0,10/1/2014
253.3,Lake Champlain Dr,3602,Arlington,3012,4,3,0,0,0,0,10/1/2014
233.4,Lake Champlain Dr,3603,Arlington,2816,3,2,0,1,0,0,10/1/2014
239.4,Lake Champlain Dr,3600,Arlington,2981,4,3,0,0,0,0,10/1/2014
227.1,Lake Champlain Dr,3601,Arlington,3283,3,2,1,0,0,0,10/1/2014
244.9,Lake Champlain Dr,3510,Arlington,3340,3,2,0,0,0,0,10/1/2014
361.1,Lake Champlain Dr,3511,Arlington,3611,4,3.5,1,1,0,0,10/1/2014
254.3,Lake Champlain Dr,3508,Arlington,2828,4,3,0,1,0,0,10/1/2014
240.8,Lake Champlain Dr,3509,Arlington,2928,4,3,0,0,0,0,10/1/2014
275.4,Lake Champlain Dr,3506,Arlington,3365,4,3.5,0,1,0,0,10/1/2014
248.2,Lake Champlain Dr,3507,Arlington,2886,4,3,0,0,0,0,10/1/2014
339.9,Lake Champlain Dr,3506,Arlington,3365,4,3.5,0,1,0,0,10/1/2014
317.0,Lake Champlain Dr,3505,Arlington,3705,4,3.5,0,1,0,0,10/1/2014
269.8,Lake Champlain Dr,3504,Arlington,3234,4,3,0,1,0,0,10/1/2014
317.0,Lake Champlain Dr,3505,Arlington,3705,4,3,0,1,0,0,10/1/2014
299.9,Lake Champlain Dr,3502,Arlington,3671,3,2,0,0,0,0,10/1/2014
233.1,Lake Champlain Dr,3503,Arlington,2632,3,2,0,0,0,0,10/1/2014
309.0,Lake Pointchatrain Dr,2635,Arlington,3603,4,2.5,1,0,0,0,10/3/2014
218.5,Lake Pointchatrain Dr,3626,Arlington,2469,3,2,1,1,0,0,10/3/2014
224.2,Lake Pointchatrain Dr,3623,Arlington,2899,3,2,0,0,0,0,10/3/2014
204.5,Lake Pointchatrain Dr,2634,Arlington,2396,3,2,0,0,0,0,10/3/2014
237.5,Lake Pointchatrain Dr,3622,Arlington,3009,4,4,0,0,0,0,10/3/2014
225.8,Lake Pointchatrain Dr,2839,Arlington,3621,4,3,0,0,0,0,10/3/2014
220.4,Lake Pointchatrain Dr,3620,Arlington,2701,3,2,0,0,0,0,10/3/2014
224.6,Lake Pointchatrain Dr,3619,Arlington,2906,4,3,0,0,0,1,10/3/2014
202.5,Lake Pointchatrain Dr,3618,Arlington,2585,4,2,0,0,0,0,10/3/2014
144.1,Lake Pointchatrain Dr,3617,Arlington,2322,3,2,0,0,0,0,10/3/2014
232.8,Lake Pointchatrain Dr,3616,Arlington,2940,3,2,0,0,0,0,10/3/2014
