Magnatude	Date_Time Depth	Depth
1	2015/05/05 13:54:13 HST	2
0.4	2015/05/05 13:52:10 HST	2.7
1	2015/05/05 13:42:04 HST	2.1
0.9	2015/05/05 13:36:57 HST	1.7
0.6	2015/05/05 13:33:02 HST	2.3
1.3	2015/05/05 13:10:46 HST	12
2	2015/05/05 12:19:19 HST	2
0.5	2015/05/05 12:00:11 HST	2
1.2	2015/05/05 11:35:43 HST	1.6
1.8	2015/05/05 10:40:34 HST	2.5
0.9	2015/05/05 10:39:47 HST	2.3
0.9	2015/05/05 10:38:58 HST	2.7
1.3	2015/05/05 10:37:03 HST	9.8
1	2015/05/05 10:22:57 HST	5.9
0.8	2015/05/05 09:59:40 HST	2.8
0.5	2015/05/05 09:50:14 HST	2.4
0.1	2015/05/05 09:27:28 HST	3.6
0.6	2015/05/05 09:07:57 HST	1.9
1.2	2015/05/05 09:02:21 HST	3.1
2.2	2015/05/05 08:49:03 HST	2.4
0.9	2015/05/05 08:38:24 HST	2
0.4	2015/05/05 07:48:11 HST	2.1
0.6	2015/05/05 07:32:57 HST	2.2
0.6	2015/05/05 07:26:01 HST	1.7
0.9	2015/05/05 06:59:08 HST	3.4
1.9	2015/05/05 06:48:07 HST	2.1
0.4	2015/05/05 06:41:54 HST	2.2
2.3	2015/05/05 06:13:27 HST	35
2.1	2015/05/05 06:10:57 HST	2.6
0.5	2015/05/05 06:10:52 HST	2.3
0.6	2015/05/05 06:09:29 HST	3.1
0.7	2015/05/05 05:58:27 HST	1.4
0.8	2015/05/05 05:51:37 HST	3.4
0.8	2015/05/05 05:46:00 HST	2.2
1	2015/05/05 05:38:10 HST	3
0.2	2015/05/05 05:33:12 HST	0.3
0.9	2015/05/05 05:26:24 HST	2.1
0.4	2015/05/05 05:07:43 HST	0.9
0.8	2015/05/05 05:03:24 HST	4.4
1.4	2015/05/05 04:38:43 HST	2.5
1.2	2015/05/05 04:38:43 HST	0
1.2	2015/05/05 04:23:33 HST	2.7
1.2	2015/05/05 04:14:16 HST	8.6
0.7	2015/05/05 04:13:36 HST	3.5
0.2	2015/05/05 04:10:13 HST	0.4
0.9	2015/05/05 04:01:55 HST	17.2
1.2	2015/05/05 04:01:52 HST	23.9
0.6	2015/05/05 04:01:08 HST	2
0.4	2015/05/05 03:46:59 HST	3.3
0.8	2015/05/05 03:20:48 HST	2.7
0.2	2015/05/05 02:20:10 HST	2.4
0.9	2015/05/05 01:48:44 HST	2.6
0.4	2015/05/05 01:40:54 HST	3
0.1	2015/05/05 01:33:23 HST	2.8
0.6	2015/05/05 01:04:52 HST	2.3
0.6	2015/05/05 01:04:30 HST	4.4
0.4	2015/05/05 00:13:06 HST	2.8
0.7	2015/05/05 00:02:44 HST	11.3
0.3	2015/05/04 23:19:25 HST	2.4
0.4	2015/05/04 23:12:48 HST	2.1
0.8	2015/05/04 23:11:11 HST	3.6
0.9	2015/05/04 22:45:26 HST	2.2
0.4	2015/05/04 22:36:35 HST	1.1
0.9	2015/05/04 22:29:46 HST	2.9
0.6	2015/05/04 22:08:02 HST	4
2.5	2015/05/04 21:28:34 HST	10.4
1.3	2015/05/04 21:18:27 HST	3.6
0.8	2015/05/04 21:05:41 HST	2.6
0.7	2015/05/04 21:03:42 HST	3.5
2.2	2015/05/04 20:37:39 HST	3
0.6	2015/05/04 20:11:52 HST	3.3
0.8	2015/05/04 20:09:29 HST	3.4
0.5	2015/05/04 19:55:44 HST	2.8
0.6	2015/05/04 19:49:16 HST	3.5
1.1	2015/05/04 19:46:23 HST	4.2
0.7	2015/05/04 19:41:18 HST	2.9
0.7	2015/05/04 19:32:04 HST	1.2
1	2015/05/04 19:30:07 HST	6.6
1.3	2015/05/04 19:17:13 HST	6.7
0.6	2015/05/04 18:28:08 HST	3.1
0.9	2015/05/04 18:25:50 HST	2.2
0.8	2015/05/04 18:08:04 HST	2.3
0.6	2015/05/04 18:05:49 HST	2.3
0.7	2015/05/04 17:58:33 HST	1.4
1	2015/05/04 17:50:04 HST	2.8
1	2015/05/04 17:33:28 HST	1.5
1.3	2015/05/04 17:30:00 HST	3.7
0.6	2015/05/04 16:48:35 HST	2.6
0.7	2015/05/04 16:31:37 HST	3
1.3	2015/05/04 16:07:12 HST	2.3
1	2015/05/04 16:04:47 HST	2.7
1.9	2015/05/04 15:59:41 HST	2.9
2.2	2015/05/04 15:53:52 HST	57.2
0.9	2015/05/04 14:49:40 HST	0.3
1.2	2015/05/04 14:17:56 HST	2.7
2.2	2015/05/04 14:17:46 HST	35.2
0.5	2015/05/04 13:54:33 HST	7
1.6	2015/05/04 13:50:09 HST	9.7
1	2015/05/04 12:58:57 HST	2.2
0.8	2015/05/04 12:58:01 HST	1.3
0.9	2015/05/04 12:40:17 HST	3
0.9	2015/05/04 11:43:44 HST	0.3
0.4	2015/05/04 11:40:44 HST	3
0.4	2015/05/04 11:38:15 HST	2.1
1.2	2015/05/04 11:33:48 HST	4.8
0.9	2015/05/04 11:18:27 HST	1.9
1.1	2015/05/04 10:24:45 HST	5.8
1.4	2015/05/04 10:22:46 HST	1.8
1.1	2015/05/04 10:18:44 HST	3.1
0.5	2015/05/04 10:17:49 HST	2.2
0.8	2015/05/04 10:16:22 HST	2.2
1.3	2015/05/04 10:10:10 HST	1.5
1	2015/05/04 09:56:58 HST	9.3
0.8	2015/05/04 09:48:34 HST	2.9
0.8	2015/05/04 09:39:47 HST	1.4
2.6	2015/05/04 09:31:30 HST	2.8
0.6	2015/05/04 09:15:59 HST	1.5
0.7	2015/05/04 09:00:03 HST	3
0.4	2015/05/04 08:54:36 HST	2.8
0.6	2015/05/04 08:39:03 HST	3.8
0.6	2015/05/04 08:36:48 HST	3.6
0.8	2015/05/04 08:34:45 HST	2.4
1.1	2015/05/04 08:30:10 HST	2.4
0.7	2015/05/04 07:39:29 HST	2.5
0.4	2015/05/04 07:35:24 HST	2.1
1.6	2015/05/04 07:27:55 HST	7.6
0.9	2015/05/04 07:21:36 HST	2.4
1.7	2015/05/04 06:58:14 HST	24.5
0.4	2015/05/04 06:53:56 HST	2.1
0.9	2015/05/04 06:37:47 HST	2.1
1.8	2015/05/04 06:28:23 HST	45
1.8	2015/05/04 06:23:21 HST	1.7
0.4	2015/05/04 06:21:16 HST	3.5
0.9	2015/05/04 06:17:14 HST	10.9
0.9	2015/05/04 06:09:36 HST	2.6
0.7	2015/05/04 05:54:01 HST	3.1
0.9	2015/05/04 05:47:53 HST	2.4
1.6	2015/05/04 05:45:40 HST	2.8
1.7	2015/05/04 05:41:27 HST	2.7
1.2	2015/05/04 05:39:20 HST	2.3
1.7	2015/05/04 05:33:30 HST	1.9
0.9	2015/05/04 05:32:01 HST	4.2
1	2015/05/04 05:31:26 HST	2.3
0.4	2015/05/04 05:27:42 HST	2.3
1.1	2015/05/04 05:25:21 HST	1.3
0.4	2015/05/04 05:21:22 HST	3.3
0.7	2015/05/04 05:11:31 HST	2.7
1.5	2015/05/04 05:03:44 HST	3.5
0.4	2015/05/04 04:56:54 HST	3.1
1.9	2015/05/04 04:52:46 HST	2.6
1.7	2015/05/04 04:51:46 HST	1.9
2.8	2015/05/04 04:49:00 HST	2.9
3.5	2015/05/04 04:42:10 HST	3
1	2015/05/04 04:24:49 HST	3
0.1	2015/05/04 04:19:55 HST	1.9
0.7	2015/05/04 04:17:42 HST	1.8
1.2	2015/05/04 03:50:30 HST	3.4
1.2	2015/05/04 03:49:03 HST	1.6
1.6	2015/05/04 03:39:37 HST	4.2
0.9	2015/05/04 03:35:37 HST	1.8
0.5	2015/05/04 03:28:03 HST	2.5
1.2	2015/05/04 03:19:54 HST	3.7
1.3	2015/05/04 03:19:11 HST	3.3
1	2015/05/04 03:08:19 HST	5.2
2.1	2015/05/04 03:03:19 HST	2.8
0.8	2015/05/04 02:59:14 HST	2.7
1.8	2015/05/04 02:41:00 HST	2.8
0.5	2015/05/04 02:40:52 HST	2.4
0.9	2015/05/04 01:50:33 HST	1.8
1.1	2015/05/04 01:38:48 HST	1.7
0.7	2015/05/04 01:36:12 HST	5.4
1.1	2015/05/04 01:31:31 HST	7.9
0.4	2015/05/04 01:10:45 HST	1.8
