Date,Last,Open,High,Low,Volume ,Return
20-Jun-14,1316.6,1320.3,1322.5,1307.1,167.79,0.0019
19-Jun-14,1314.1,1278.2,1322,1276.2,237.99,0.0325
18-Jun-14,1272.7,1272.1,1279.2,1266.5,87.91,0.0006
17-Jun-14,1272,1271.8,1273.5,1258,112.83,-0.0026
16-Jun-14,1275.3,1276.8,1285.1,1270.5,98.25,0.0009
13-Jun-14,1274.1,1273.4,1278.1,1270.9,83.63,0.0001
12-Jun-14,1274,1261.1,1275.1,1260,117.42,0.0101
11-Jun-14,1261.2,1260.3,1265.5,1257.9,77.04,0.0009
10-Jun-14,1260.1,1252.7,1263.8,1250.1,107.08,0.0049
9-Jun-14,1253.9,1253,1257.3,1251.6,53.77,0.0011
6-Jun-14,1252.5,1253.7,1258.2,1245.7,112.94,-0.0006
5-Jun-14,1253.3,1244.3,1257.9,1241.2,125.57,0.0072
4-Jun-14,1244.3,1244.9,1249.5,1242.8,76.99,-0.0002
3-Jun-14,1244.5,1244.1,1247.9,1240.2,90.05,0.0004
2-Jun-14,1244,1250.5,1251,1241.1,91.4,-0.0016
30-May-14,1246,1255.9,1260.6,1242.2,136.54,-0.0088
29-May-14,1257.1,1258.9,1261.5,1251.4,140.23,-0.0021
28-May-14,1259.7,1264,1267.5,1256.1,134.36,-0.0047
27-May-14,1265.7,1294.3,1294.7,1263.4,90.27,-0.0207
26-May-14,1292.5,1291.6,1294.4,1291.4,NA,0.0006
25-May-14,1291.7,1293.9,1294.2,1291.1,NA,-0.0002
23-May-14,1291.9,1294.4,1295.9,1286.7,78.71,-0.0025
22-May-14,1295.2,1292.1,1304.1,1290.5,18.82,0.0054
21-May-14,1288.3,1294.5,1296.3,1283.3,19.62,-0.0050
20-May-14,1294.8,1292.9,1297.2,1286.2,16.74,0.0006
19-May-14,1294,1293.5,1305.8,1290,7.55,0.0005
16-May-14,1293.4,1296.4,1298.3,1287.7,116.84,-0.0002
15-May-14,1293.6,1305.5,1307.3,1290.9,147.39,-0.0094
14-May-14,1305.9,1293.9,1309.2,1291.6,120.33,0.0086
13-May-14,1294.8,1296,1299,1289.1,120.87,-0.0008
12-May-14,1295.8,1289.8,1304.5,1277.7,130.81,0.0064
9-May-14,1287.6,1289.6,1294.5,1285.5,110.47,-0.0001
8-May-14,1287.7,1289.8,1295.5,1284.8,118.11,-0.0009
7-May-14,1288.9,1307.9,1315,1286.6,173.8,-0.0151
6-May-14,1308.6,1309.7,1314.3,1304.4,103.41,-0.0005
5-May-14,1309.3,1300.9,1315.8,1299.7,115.63,0.0049
2-May-14,1302.9,1284.7,1304.9,1272,171.95,0.0152
1-May-14,1283.4,1291.9,1293,1277.3,115.44,-0.0096
30-Apr-14,1295.9,1295.6,1298.4,1284.9,139.27,-0.0003
29-Apr-14,1296.3,1296,1302,1286.1,103.82,-0.0021
28-Apr-14,1299,1303.2,1306.6,1292.1,102.41,-0.0014
25-Apr-14,1300.8,1293.8,1305.2,1290.4,107.96,0.0079
24-Apr-14,1290.6,1283.9,1299,1268.4,189.29,0.0047
23-Apr-14,1284.6,1284,1289.1,1280.8,98.44,0.0027
22-Apr-14,1281.1,1290.3,1293.1,1275.8,118.73,-0.0057
21-Apr-14,1288.5,1294.9,1302.5,1281.8,101.89,-0.0042
17-Apr-14,1293.9,1302.1,1304.4,1292.8,95.71,-0.0074
16-Apr-14,1303.5,1303.2,1307.1,1293.5,117.47,0.0025
15-Apr-14,1300.3,1326.5,1328.4,1284.4,188.99,-0.0205
14-Apr-14,1327.5,1321,1331.4,1318.7,100.33,0.0064
11-Apr-14,1319,1318.1,1324.2,1314,91.86,-0.0011
10-Apr-14,1320.5,1311.9,1324.9,1311,126.71,0.0112
9-Apr-14,1305.9,1308.5,1315.5,1301.1,125.58,-0.0024
8-Apr-14,1309.1,1296.8,1314.7,1296.8,119.23,0.0083
7-Apr-14,1298.3,1304,1304.8,1295.8,80.28,-0.0040
4-Apr-14,1303.5,1286.6,1307.5,1284.4,145.5,0.0147
3-Apr-14,1284.6,1290.4,1294.2,1281.9,98.67,-0.0048
2-Apr-14,1290.8,1279.6,1294.9,1278.9,124.47,0.0084
1-Apr-14,1280,1284.6,1288.4,1277.4,112.92,-0.0026
31-Mar-14,1283.4,1294.3,1298.8,1282.4,4.12,-0.0080
28-Mar-14,1293.8,1292.2,1299.4,1285.9,65.49,0.0000
27-Mar-14,1293.8,1306.9,1307.4,1289.7,NA,-0.0074
26-Mar-14,1303.4,1315.2,1315.2,1303.4,NA,-0.0061
25-Mar-14,1311.4,1315.5,1315.5,1307.5,0.05,0.0002
24-Mar-14,1311.2,1333,1333,1310.5,0.1,-0.0186
21-Mar-14,1336,1339.1,1339.1,1335,NA,0.0041
20-Mar-14,1330.5,1333.7,1333.7,1325.8,0.07,-0.0081
19-Mar-14,1341.4,1357.1,1358,1332.7,0.06,-0.0130
18-Mar-14,1359,1359.3,1361.8,1353.4,0.04,-0.0101
17-Mar-14,1372.9,1386.1,1391.4,1372.2,0.03,-0.0044
14-Mar-14,1379,1376.1,1386.6,1369.8,0.09,0.0050
13-Mar-14,1372.2,1366.8,1374.5,1366.5,0.02,0.0014
12-Mar-14,1370.3,1349.1,1370.5,1348.7,0.06,0.0177
11-Mar-14,1346.5,1340,1352.4,1338.1,0.05,0.0038
10-Mar-14,1341.4,1336,1344.7,1330.5,0.1,0.0025
7-Mar-14,1338.1,1349.5,1352.7,1329.2,0.1,-0.0101
6-Mar-14,1351.7,1338,1351.7,1333.3,0.06,0.0086
5-Mar-14,1340.2,1334.8,1341,1334.8,0.03,0.0018
4-Mar-14,1337.8,1350.4,1350.4,1332.2,0.08,-0.0091
3-Mar-14,1350.1,1335.9,1354.1,1332.9,0.23,0.0217
