Date	Last	Open	High	Low	Vol.	Change %
Jan 02, 2015	1186.20	1184.00	1194.90	1167.30	120.68K	-0.05%
Jan 01, 2015	1186.80	1184.10	1187.50	1184.10	-	0.23%
Dec 31, 2014	1184.10	1199.80	1203.90	1179.50	70.52K	-1.36%
Dec 30, 2014	1200.40	1182.90	1210.90	1180.50	141.72K	1.57%
Dec 29, 2014	1181.90	1194.90	1197.50	1178.60	85.91K	-1.12%
Dec 26, 2014	1195.30	1175.20	1199.10	1175.20	67.18K	1.55%
Dec 25, 2014	1177.00	1175.00	1178.90	1175.00	-	0.30%
Dec 24, 2014	1173.50	1176.80	1181.20	1172.70	43.63K	-0.38%
Dec 23, 2014	1178.00	1176.10	1184.90	1172.40	105.53K	-0.15%
Dec 22, 2014	1179.80	1196.00	1203.60	1170.70	132.15K	-1.35%
Dec 19, 2014	1196.00	1198.00	1201.50	1193.20	73.33K	0.10%
Dec 18, 2014	1194.80	1189.40	1213.90	1188.50	137.34K	0.03%
Dec 17, 2014	1194.50	1195.30	1203.10	1182.00	169.51K	0.02%
Dec 16, 2014	1194.30	1195.40	1223.90	1187.80	231.51K	-1.11%
Dec 15, 2014	1207.70	1222.00	1225.00	1191.30	152.38K	-1.21%
Dec 12, 2014	1222.50	1227.90	1228.90	1214.80	121.18K	-0.25%
Dec 11, 2014	1225.60	1226.20	1233.40	1216.40	143.67K	-0.31%
Dec 10, 2014	1229.40	1231.20	1238.90	1225.20	143.32K	-0.21%
Dec 09, 2014	1232.00	1203.80	1239.00	1199.50	241.26K	3.10%
Dec 08, 2014	1194.90	1191.20	1209.30	1187.30	107.51K	0.38%
Dec 05, 2014	1190.40	1205.90	1208.50	1186.40	157.20K	-1.43%
Dec 04, 2014	1207.70	1209.30	1213.50	1201.10	117.72K	-0.08%
Dec 03, 2014	1208.70	1197.60	1215.00	1193.50	145.11K	0.78%
Dec 02, 2014	1199.40	1212.60	1212.60	1191.40	169.35K	-1.54%
Dec 01, 2014	1218.10	1159.40	1221.00	1141.70	342.31K	3.62%
Nov 28, 2014	1175.50	1197.80	1199.30	1163.90	254.47K	-1.12%
Nov 27, 2014	1188.80	1197.30	1199.30	1185.40	-	-0.73%
Nov 26, 2014	1197.50	1201.60	1201.60	1194.60	121.78K	-0.03%
Nov 25, 2014	1197.80	1198.20	1203.00	1190.00	127.83K	0.10%
Nov 24, 2014	1196.60	1200.70	1204.50	1192.80	71.35K	-0.15%
Nov 21, 2014	1198.40	1194.70	1208.20	1186.70	32.86K	0.58%
Nov 20, 2014	1191.50	1183.80	1197.20	1177.00	35.25K	-0.26%
Nov 19, 2014	1194.60	1196.20	1202.20	1174.70	41.73K	-0.27%
Nov 18, 2014	1197.80	1186.40	1204.70	1183.70	22.26K	1.14%
Nov 17, 2014	1184.30	1186.30	1194.30	1181.80	26.37K	-0.11%
Nov 14, 2014	1185.60	1161.80	1192.90	1146.00	293.65K	2.07%
Nov 13, 2014	1161.50	1161.10	1167.40	1153.00	187.70K	0.21%
Nov 12, 2014	1159.10	1163.00	1169.40	1156.50	183.58K	-0.34%
Nov 11, 2014	1163.00	1151.50	1172.50	1145.50	187.31K	0.28%
Nov 10, 2014	1159.80	1176.80	1177.50	1146.70	198.95K	-0.85%
Nov 07, 2014	1169.80	1141.20	1179.00	1130.40	298.01K	2.38%
Nov 06, 2014	1142.60	1140.80	1149.00	1137.20	168.56K	-0.27%
Nov 05, 2014	1145.70	1168.40	1169.30	1137.10	261.12K	-1.88%
Nov 04, 2014	1167.70	1164.60	1175.00	1163.40	134.88K	-0.18%
Nov 03, 2014	1169.80	1171.10	1173.40	1161.00	129.44K	-0.15%
Oct 31, 2014	1171.60	1199.50	1202.40	1160.50	300.19K	-2.25%
Oct 30, 2014	1198.60	1211.20	1216.50	1195.50	210.42K	-2.15%
Oct 29, 2014	1224.90	1227.80	1230.40	1208.20	131.45K	-0.37%
Oct 28, 2014	1229.40	1225.80	1235.50	1222.20	124.20K	0.01%
Oct 27, 2014	1229.30	1230.60	1232.10	1225.20	86.31K	-0.20%
Oct 24, 2014	1231.80	1233.50	1234.70	1228.70	93.37K	0.22%
Oct 23, 2014	1229.10	1241.70	1244.90	1226.30	140.07K	-1.32%
Oct 22, 2014	1245.50	1248.90	1250.20	1240.70	113.41K	-0.50%
Oct 21, 2014	1251.70	1246.80	1255.60	1245.70	151.08K	0.56%
Oct 20, 2014	1244.70	1239.10	1249.30	1234.90	96.27K	0.46%
Oct 17, 2014	1239.00	1239.50	1242.10	1232.00	117.55K	-0.18%
Oct 16, 2014	1241.20	1242.20	1245.60	1235.20	180.59K	-0.29%
Oct 15, 2014	1244.80	1233.30	1250.30	1222.00	258.10K	0.85%
Oct 14, 2014	1234.30	1237.30	1238.60	1231.10	113.55K	0.35%
Oct 13, 2014	1230.00	1224.80	1238.00	1223.60	119.92K	0.68%
Oct 10, 2014	1221.70	1224.00	1225.70	1217.60	121.36K	-0.29%
Oct 09, 2014	1225.30	1221.10	1234.00	1219.30	165.36K	1.60%
Oct 08, 2014	1206.00	1209.80	1224.50	1205.10	192.01K	-0.53%
Oct 07, 2014	1212.40	1207.80	1214.10	1203.00	142.51K	0.42%
Oct 06, 2014	1207.30	1192.00	1209.90	1183.30	147.76K	1.21%
Oct 03, 2014	1192.90	1213.90	1215.70	1190.30	186.09K	-1.83%
Oct 02, 2014	1215.10	1213.40	1224.00	1209.10	148.82K	-0.03%
Oct 01, 2014	1215.50	1209.40	1220.00	1205.00	146.54K	0.32%
Sep 30, 2014	1211.60	1215.70	1220.70	1204.30	182.52K	-0.59%
Sep 29, 2014	1218.80	1219.10	1223.90	1215.30	105.76K	0.28%
Sep 26, 2014	1215.40	1222.10	1232.70	1212.80	149.45K	-0.53%
Sep 25, 2014	1221.90	1217.30	1225.30	1206.60	186.35K	0.20%
Sep 24, 2014	1219.50	1223.20	1226.70	1216.20	131.42K	-0.20%
Sep 23, 2014	1222.00	1214.90	1237.00	1214.70	153.20K	0.34%
Sep 22, 2014	1217.90	1216.40	1221.00	1208.80	138.05K	0.11%
Sep 19, 2014	1216.60	1225.60	1229.20	1214.20	173.50K	-0.84%
Sep 18, 2014	1226.90	1223.10	1228.70	1216.30	151.11K	-0.73%
Sep 17, 2014	1235.90	1235.30	1240.50	1222.00	132.08K	-0.06%
Sep 16, 2014	1236.70	1233.20	1243.20	1232.20	123.28K	0.13%
Sep 15, 2014	1235.10	1228.30	1239.20	1226.30	100.04K	0.29%
Sep 12, 2014	1231.50	1240.90	1242.30	1228.10	140.80K	-0.61%
Sep 11, 2014	1239.00	1249.80	1251.00	1235.30	160.68K	-0.51%
Sep 10, 2014	1245.30	1256.20	1258.50	1244.50	140.72K	-0.26%
Sep 09, 2014	1248.50	1257.10	1258.90	1248.10	128.25K	-0.46%
Sep 08, 2014	1254.30	1269.50	1272.60	1252.10	112.68K	-1.03%
Sep 05, 2014	1267.30	1261.70	1274.80	1258.00	106.17K	0.06%
Sep 04, 2014	1266.50	1269.80	1279.20	1261.30	151.58K	-0.30%
Sep 03, 2014	1270.30	1266.70	1272.40	1261.90	107.91K	0.42%
Sep 02, 2014	1265.00	1288.50	1290.90	1263.10	190.58K	-1.74%
Sep 01, 2014	1287.40	1287.60	1290.90	1285.90	-	-0.02%
Aug 31, 2014	1287.70	1288.50	1289.00	1286.80	-	0.02%
Aug 29, 2014	1287.40	1290.40	1292.50	1284.10	76.39K	-0.23%
Aug 28, 2014	1290.40	1283.70	1297.60	1283.00	110.17K	0.55%
Aug 27, 2014	1283.40	1281.60	1288.20	1280.90	67.24K	-0.14%
Aug 26, 2014	1285.20	1277.40	1291.90	1275.70	103.85K	0.49%
Aug 25, 2014	1278.90	1280.80	1281.60	1275.00	53.71K	-0.10%
Aug 22, 2014	1280.20	1278.20	1283.90	1274.60	91.73K	0.38%
Aug 21, 2014	1275.40	1291.90	1292.00	1273.40	145.35K	-1.53%
Aug 20, 2014	1295.20	1297.20	1299.30	1288.70	83.30K	-0.12%
Aug 19, 2014	1296.70	1298.60	1303.70	1294.70	78.24K	-0.20%
Aug 18, 2014	1299.30	1304.20	1304.90	1296.50	76.11K	-0.53%
Aug 15, 2014	1306.20	1313.40	1316.50	1293.00	192.11K	-0.72%
Aug 14, 2014	1315.70	1313.40	1321.80	1310.00	103.42K	0.09%
Aug 13, 2014	1314.50	1309.60	1316.40	1306.00	98.47K	0.30%
Aug 12, 2014	1310.60	1309.20	1319.30	1306.80	98.61K	0.01%
Aug 11, 2014	1310.50	1310.40	1312.90	1306.40	63.07K	-0.04%
Aug 08, 2014	1311.00	1314.50	1324.30	1305.70	147.90K	-0.11%
Aug 07, 2014	1312.50	1306.60	1316.40	1303.00	122.43K	0.33%
Aug 06, 2014	1308.20	1288.90	1311.00	1288.50	160.37K	1.78%
Aug 05, 2014	1285.30	1289.20	1295.00	1283.30	105.68K	-0.28%
Aug 04, 2014	1288.90	1295.40	1296.40	1287.00	67.87K	-0.46%
Aug 01, 2014	1294.80	1284.20	1298.40	1281.00	144.99K	0.94%
Jul 31, 2014	1282.80	1297.00	1298.80	1281.30	143.36K	-1.09%
Jul 30, 2014	1296.90	1300.50	1305.20	1293.20	130.87K	-0.28%
Jul 29, 2014	1300.50	1306.70	1314.60	1298.00	150.85K	-0.41%
Jul 28, 2014	1305.80	1309.20	1311.40	1303.30	57.70K	0.04%
Jul 25, 2014	1305.30	1296.00	1311.00	1293.00	41.67K	0.97%
Jul 24, 2014	1292.70	1306.70	1307.00	1289.40	33.00K	-1.06%
Jul 23, 2014	1306.50	1309.20	1313.30	1305.30	18.65K	-0.11%
Jul 22, 2014	1308.00	1314.80	1318.00	1304.20	14.37K	-0.57%
Jul 21, 2014	1315.50	1312.20	1320.40	1309.70	17.83K	0.47%
Jul 18, 2014	1309.40	1319.10	1325.50	1305.00	121.62K	-0.57%
Jul 17, 2014	1316.90	1300.30	1325.90	1298.10	176.74K	1.32%
Jul 16, 2014	1299.80	1295.20	1304.20	1293.50	119.72K	0.21%
Jul 15, 2014	1297.10	1309.10	1314.40	1292.60	175.88K	-0.73%
Jul 14, 2014	1306.70	1339.50	1340.90	1302.20	208.86K	-2.30%
Jul 11, 2014	1337.40	1336.50	1340.40	1334.60	97.17K	-0.13%
Jul 10, 2014	1339.20	1325.00	1346.80	1325.00	179.49K	1.13%
Jul 09, 2014	1324.30	1320.40	1333.40	1318.70	163.18K	0.59%
Jul 08, 2014	1316.50	1320.80	1325.70	1314.30	130.08K	-0.04%
Jul 07, 2014	1317.00	1321.10	1321.70	1312.10	113.07K	-0.33%
Jul 04, 2014	1321.30	1321.10	1324.00	1319.60	-	0.05%
Jul 03, 2014	1320.60	1328.40	1329.00	1309.40	149.38K	-0.77%
Jul 02, 2014	1330.90	1327.10	1333.20	1322.10	114.09K	0.32%
Jul 01, 2014	1326.60	1327.50	1334.90	1324.00	121.10K	0.35%
Jun 30, 2014	1322.00	1316.80	1330.40	1311.00	127.61K	0.15%
Jun 27, 2014	1320.00	1317.10	1323.10	1313.20	104.66K	0.23%
Jun 26, 2014	1317.00	1318.70	1320.60	1306.80	134.79K	-0.42%
Jun 25, 2014	1322.60	1318.90	1325.60	1305.40	136.62K	0.10%
Jun 24, 2014	1321.30	1318.10	1326.60	1314.50	123.88K	0.22%
Jun 23, 2014	1318.40	1314.90	1319.20	1310.40	109.39K	0.14%
Jun 20, 2014	1316.60	1320.30	1322.50	1307.10	167.79K	0.19%
Jun 19, 2014	1314.10	1278.20	1322.00	1276.20	237.99K	3.25%
Jun 18, 2014	1272.70	1272.10	1279.20	1266.50	87.91K	0.06%
Jun 17, 2014	1272.00	1271.80	1273.50	1258.00	112.83K	-0.26%
Jun 16, 2014	1275.30	1276.80	1285.10	1270.50	98.25K	0.09%
Jun 13, 2014	1274.10	1273.40	1278.10	1270.90	83.63K	0.01%
Jun 12, 2014	1274.00	1261.10	1275.10	1260.00	117.42K	1.01%
Jun 11, 2014	1261.20	1260.30	1265.50	1257.90	77.04K	0.09%
Jun 10, 2014	1260.10	1252.70	1263.80	1250.10	107.08K	0.49%
Jun 09, 2014	1253.90	1253.00	1257.30	1251.60	53.77K	0.11%
Jun 06, 2014	1252.50	1253.70	1258.20	1245.70	112.94K	-0.06%
Jun 05, 2014	1253.30	1244.30	1257.90	1241.20	125.57K	0.72%
Jun 04, 2014	1244.30	1244.90	1249.50	1242.80	76.99K	-0.02%
Jun 03, 2014	1244.50	1244.10	1247.90	1240.20	90.05K	0.04%
Jun 02, 2014	1244.00	1250.50	1251.00	1241.10	91.40K	-0.16%
May 30, 2014	1246.00	1255.90	1260.60	1242.20	136.54K	-0.88%
May 29, 2014	1257.10	1258.90	1261.50	1251.40	140.23K	-0.21%
May 28, 2014	1259.70	1264.00	1267.50	1256.10	134.36K	-0.47%
May 27, 2014	1265.70	1294.30	1294.70	1263.40	90.27K	-2.07%
May 26, 2014	1292.50	1291.60	1294.40	1291.40	-	0.06%
May 25, 2014	1291.70	1293.90	1294.20	1291.10	-	-0.02%
May 23, 2014	1291.90	1294.40	1295.90	1286.70	78.71K	-0.25%
May 22, 2014	1295.20	1292.10	1304.10	1290.50	18.82K	0.54%
May 21, 2014	1288.30	1294.50	1296.30	1283.30	19.62K	-0.50%
May 20, 2014	1294.80	1292.90	1297.20	1286.20	16.74K	0.06%
May 19, 2014	1294.00	1293.50	1305.80	1290.00	7.55K	0.05%
May 16, 2014	1293.40	1296.40	1298.30	1287.70	116.84K	-0.02%
May 15, 2014	1293.60	1305.50	1307.30	1290.90	147.39K	-0.94%
May 14, 2014	1305.90	1293.90	1309.20	1291.60	120.33K	0.86%
May 13, 2014	1294.80	1296.00	1299.00	1289.10	120.87K	-0.08%
May 12, 2014	1295.80	1289.80	1304.50	1277.70	130.81K	0.64%
May 09, 2014	1287.60	1289.60	1294.50	1285.50	110.47K	-0.01%
May 08, 2014	1287.70	1289.80	1295.50	1284.80	118.11K	-0.09%
May 07, 2014	1288.90	1307.90	1315.00	1286.60	173.80K	-1.51%
May 06, 2014	1308.60	1309.70	1314.30	1304.40	103.41K	-0.05%
May 05, 2014	1309.30	1300.90	1315.80	1299.70	115.63K	0.49%
May 02, 2014	1302.90	1284.70	1304.90	1272.00	171.95K	1.52%
May 01, 2014	1283.40	1291.90	1293.00	1277.30	115.44K	-0.96%
Apr 30, 2014	1295.90	1295.60	1298.40	1284.90	139.27K	-0.03%
Apr 29, 2014	1296.30	1296.00	1302.00	1286.10	103.82K	-0.21%
Apr 28, 2014	1299.00	1303.20	1306.60	1292.10	102.41K	-0.14%
Apr 25, 2014	1300.80	1293.80	1305.20	1290.40	107.96K	0.79%
Apr 24, 2014	1290.60	1283.90	1299.00	1268.40	189.29K	0.47%
Apr 23, 2014	1284.60	1284.00	1289.10	1280.80	98.44K	0.27%
Apr 22, 2014	1281.10	1290.30	1293.10	1275.80	118.73K	-0.57%
Apr 21, 2014	1288.50	1294.90	1302.50	1281.80	101.89K	-0.42%
Apr 17, 2014	1293.90	1302.10	1304.40	1292.80	95.71K	-0.74%
Apr 16, 2014	1303.50	1303.20	1307.10	1293.50	117.47K	0.25%
