Year	Month	Deviations
1919	12	-0.3225
1920	1	0.2914
1920	2	-0.334
1920	3	0.2648
1920	4	-0.2296
1920	5	-0.0643
1920	6	-0.2344
1920	7	0.0353
1920	8	0.0125
1920	9	-0.1225
1920	10	-0.23
1920	11	-0.3646
1920	12	-0.9362
1921	1	0.5901
1921	2	0.1033
1921	3	-0.0035
1921	4	0.0588
1921	5	0.0438
1921	6	0.131
1921	7	0.1767
1921	8	-0.1682
1921	9	-0.1026
1921	10	0.0266
1921	11	-0.2225
1921	12	0.1371
1922	1	-0.5697
1922	2	-0.6516
1922	3	0.1645
1922	4	0.0982
1922	5	-0.0831
1922	6	-0.0366
1922	7	-0.0046
1922	8	-0.0786
1922	9	-0.1402
1922	10	-0.1851
1922	11	0.0669
1922	12	0.1594
1923	1	0.0198
1923	2	-0.564
1923	3	-0.1704
1923	4	-0.5985
1923	5	-0.3091
1923	6	-0.0001
1923	7	-0.1805
1923	8	-0.0535
1923	9	-0.0157
1923	10	0.2153
1923	11	0.4678
1923	12	0.3036
1924	1	-0.4894
1924	2	-0.1846
1924	3	0.0403
1924	4	-0.4766
1924	5	-0.2719
1924	6	-0.1511
1924	7	0.0427
1924	8	-0.07
1924	9	0.0148
1924	10	-0.0434
1924	11	0.3512
1924	12	-0.2038
1925	1	-0.1349
1925	2	-0.2787
1925	3	0.1335
1925	4	0.1749
1925	5	-0.165
1925	6	-0.2549
1925	7	-0.2307
1925	8	0.0224
1925	9	0.0556
1925	10	-0.1649
1925	11	0.3505
1925	12	0.7974
1926	1	0.783
1926	2	0.5814
1926	3	0.6539
1926	4	-0.1631
1926	5	-0.2664
1926	6	-0.1014
1926	7	-0.1609
1926	8	0.0698
1926	9	0.0042
1926	10	0.1883
1926	11	0.1674
1926	12	-0.2924
1927	1	-0.2428
1927	2	-0.0944
1927	3	-0.4296
1927	4	-0.276
1927	5	-0.1123
1927	6	0.0307
1927	7	0.1434
1927	8	-0.0174
1927	9	0.372
1927	10	0.5531
1927	11	0.1322
1927	12	-0.6814
1928	1	0.241
1928	2	0.1219
1928	3	-0.4225
1928	4	-0.26
1928	5	0.0554
1928	6	-0.1687
1928	7	0.0125
1928	8	-0.0218
1928	9	-0.0096
1928	10	0.1094
1928	11	0.3948
1928	12	0.1935
1929	1	-0.861
1929	2	-1.0811
1929	3	-0.0665
1929	4	-0.1407
1929	5	-0.1549
1929	6	-0.2164
1929	7	-0.2291
1929	8	-0.0153
1929	9	-0.0789
1929	10	0.2341
1929	11	0.1878
1929	12	-1.1752
1930	1	-0.4466
1930	2	-0.071
1930	3	0.3954
1930	4	-0.174
1930	5	-0.1693
1930	6	0.0184
1930	7	0.1973
1930	8	0.1247
1930	9	-0.1542
1930	10	0.0155
1930	11	0.5856
1930	12	0.1507
1931	1	0.0154
1931	2	-0.6939
1931	3	0.1408
1931	4	-0.245
1931	5	-0.2296
1931	6	0.2
1931	7	0.3133
1931	8	0.2385
1931	9	0.3775
1931	10	0.5313
1931	11	0.0939
1931	12	0.2133
1932	1	0.998
1932	2	-0.2331
1932	3	-0.2448
1932	4	0.4845
1932	5	-0.021
1932	6	0.0367
1932	7	0.1568
1932	8	-0.0517
1932	9	0.3251
1932	10	0.3058
1932	11	-0.1845
1932	12	-0.2396
1933	1	-0.5501
1933	2	-0.6134
1933	3	-0.3095
1933	4	-0.2474
1933	5	-0.0952
1933	6	-0.1138
1933	7	-0.0351
1933	8	0.0018
1933	9	-0.1398
1933	10	0.0487
1933	11	-0.0347
1933	12	-0.6294
1934	1	-0.2843
1934	2	0.7029
1934	3	-0.2885
1934	4	-0.3552
1934	5	0.3745
1934	6	0.1533
1934	7	-0.0093
1934	8	0.0599
1934	9	-0.305
1934	10	0.087
1934	11	0.408
1934	12	0.2704
1935	1	-0.5165
1935	2	1.1029
1935	3	0.1275
1935	4	-0.5357
1935	5	-0.2528
1935	6	-0.0994
1935	7	0.101
1935	8	0.0693
1935	9	0.0738
1935	10	0.2173
1935	11	-0.6745
1935	12	-0.2633
1936	1	-0.4656
1936	2	-0.7711
1936	3	-0.2583
1936	4	-0.1957
1936	5	0.0261
1936	6	0.0809
1936	7	0.3916
1936	8	0.1087
1936	9	0.0647
1936	10	0.2187
1936	11	0.2035
1936	12	0.2317
1937	1	-0.3725
1937	2	0.2653
1937	3	-0.4435
1937	4	-0.2271
1937	5	0.1534
1937	6	0.2805
1937	7	0.0597
1937	8	0.2636
1937	9	0.326
1937	10	0.3852
1937	11	0.2644
1937	12	-0.1807
1938	1	0.2012
1938	2	0.1858
1938	3	0.4855
1938	4	0.5053
1938	5	0.2014
1938	6	-0.0236
1938	7	0.1708
1938	8	0.216
1938	9	0.3585
1938	10	0.4657
1938	11	0.4696
1938	12	-0.2851
1939	1	0.2723
1939	2	0.1303
1939	3	-0.2755
1939	4	-0.0777
1939	5	0.2932
1939	6	0.1956
1939	7	0.1914
1939	8	0.2101
1939	9	-0.0343
1939	10	-0.1409
1939	11	0.1281
1939	12	1.3384
1940	1	-0.4126
1940	2	0.2592
1940	3	0.2438
1940	4	0.2874
1940	5	-0.0538
1940	6	0.1381
1940	7	0.2396
1940	8	0.0227
1940	9	0.2181
1940	10	0.0333
1940	11	-0.0393
1940	12	0.4752
