Date,Open,High,Low,Close,Volume,Adj Close,Return
7/5/1951,21.64,21.64,21.64,21.64,1410000,21.64,0.019312294
7/6/1951,21.64,21.64,21.64,21.64,1170000,21.64,0
7/9/1951,21.73,21.73,21.73,21.73,1110000,21.73,0.004158965
7/10/1951,21.63,21.63,21.63,21.63,990000,21.63,-0.004601933
7/11/1951,21.68,21.68,21.68,21.68,970000,21.68,0.002311604
7/12/1951,21.8,21.8,21.8,21.8,1050000,21.8,0.005535055
7/13/1951,21.98,21.98,21.98,21.98,1320000,21.98,0.008256881
7/16/1951,21.73,21.73,21.73,21.73,1200000,21.73,-0.011373976
7/17/1951,21.92,21.92,21.92,21.92,1280000,21.92,0.008743672
7/18/1951,21.88,21.88,21.88,21.88,1370000,21.88,-0.001824818
7/19/1951,21.84,21.84,21.84,21.84,1120000,21.84,-0.001828154
7/20/1951,21.88,21.88,21.88,21.88,1390000,21.88,0.001831502
7/23/1951,22.1,22.1,22.1,22.1,1320000,22.1,0.010054845
7/24/1951,22.44,22.44,22.44,22.44,1740000,22.44,0.015384615
7/25/1951,22.32,22.32,22.32,22.32,1870000,22.32,-0.005347594
7/26/1951,22.47,22.47,22.47,22.47,1480000,22.47,0.00672043
7/27/1951,22.53,22.53,22.53,22.53,1450000,22.53,0.002670227
7/30/1951,22.63,22.63,22.63,22.63,1600000,22.63,0.004438526
7/31/1951,22.4,22.4,22.4,22.4,1550000,22.4,-0.0101635
8/1/1951,22.51,22.51,22.51,22.51,1680000,22.51,0.004910714
8/2/1951,22.82,22.82,22.82,22.82,2130000,22.82,0.013771657
8/3/1951,22.85,22.85,22.85,22.85,1570000,22.85,0.001314636
8/6/1951,23.01,23.01,23.01,23.01,1600000,23.01,0.007002188
8/7/1951,23.03,23.03,23.03,23.03,1810000,23.03,0.000869187
8/8/1951,22.93,22.93,22.93,22.93,1410000,22.93,-0.004342162
8/9/1951,22.84,22.84,22.84,22.84,1500000,22.84,-0.003924989
8/10/1951,22.79,22.79,22.79,22.79,1260000,22.79,-0.002189142
8/13/1951,22.8,22.8,22.8,22.8,1320000,22.8,0.000438789
8/14/1951,22.7,22.7,22.7,22.7,1180000,22.7,-0.004385965
8/15/1951,22.79,22.79,22.79,22.79,1340000,22.79,0.003964758
8/16/1951,22.87,22.87,22.87,22.87,1750000,22.87,0.003510312
8/17/1951,22.94,22.94,22.94,22.94,1620000,22.94,0.003060778
8/20/1951,22.93,22.93,22.93,22.93,1130000,22.93,-0.00043592
8/21/1951,22.83,22.83,22.83,22.83,1400000,22.83,-0.004361099
8/22/1951,22.75,22.75,22.75,22.75,1130000,22.75,-0.003504161
8/23/1951,22.9,22.9,22.9,22.9,1230000,22.9,0.006593407
8/24/1951,22.88,22.88,22.88,22.88,1210000,22.88,-0.000873362
8/27/1951,22.85,22.85,22.85,22.85,1080000,22.85,-0.001311189
8/28/1951,22.9,22.9,22.9,22.9,1280000,22.9,0.002188184
8/29/1951,23.08,23.08,23.08,23.08,1520000,23.08,0.007860262
8/30/1951,23.24,23.24,23.24,23.24,1950000,23.24,0.006932409
8/31/1951,23.28,23.28,23.28,23.28,1530000,23.28,0.00172117
9/4/1951,23.28,23.28,23.28,23.28,1520000,23.28,0
9/5/1951,23.42,23.42,23.42,23.42,1850000,23.42,0.006013746
9/6/1951,23.47,23.47,23.47,23.47,2150000,23.47,0.002134927
9/7/1951,23.53,23.53,23.53,23.53,1970000,23.53,0.002556455
9/10/1951,23.62,23.62,23.62,23.62,2190000,23.62,0.003824904
9/11/1951,23.5,23.5,23.5,23.5,2040000,23.5,-0.00508044
9/12/1951,23.6,23.6,23.6,23.6,2180000,23.6,0.004255319
9/13/1951,23.71,23.71,23.71,23.71,2350000,23.71,0.004661017
9/14/1951,23.69,23.69,23.69,23.69,2170000,23.69,-0.000843526
9/17/1951,23.62,23.62,23.62,23.62,1800000,23.62,-0.002954833
9/18/1951,23.59,23.59,23.59,23.59,2030000,23.59,-0.00127011
9/19/1951,23.59,23.59,23.59,23.59,2070000,23.59,0
9/20/1951,23.57,23.57,23.57,23.57,2100000,23.57,-0.000847817
9/21/1951,23.4,23.4,23.4,23.4,2180000,23.4,-0.007212558
9/24/1951,23.3,23.3,23.3,23.3,1630000,23.3,-0.004273504
9/25/1951,23.38,23.38,23.38,23.38,1740000,23.38,0.003433476
9/26/1951,23.4,23.4,23.4,23.4,1520000,23.4,0.000855432
9/27/1951,23.27,23.27,23.27,23.27,1540000,23.27,-0.005555556
9/28/1951,23.26,23.26,23.26,23.26,1390000,23.26,-0.000429738
10/1/1951,23.47,23.47,23.47,23.47,1330000,23.47,0.009028375
10/2/1951,23.64,23.64,23.64,23.64,1870000,23.64,0.007243289
10/3/1951,23.79,23.79,23.79,23.79,2780000,23.79,0.006345178
10/4/1951,23.72,23.72,23.72,23.72,1810000,23.72,-0.002942413
10/5/1951,23.78,23.78,23.78,23.78,2080000,23.78,0.002529511
10/8/1951,23.75,23.75,23.75,23.75,1860000,23.75,-0.001261564
10/9/1951,23.65,23.65,23.65,23.65,1750000,23.65,-0.004210526
10/10/1951,23.61,23.61,23.61,23.61,1320000,23.61,-0.001691332
10/11/1951,23.7,23.7,23.7,23.7,1760000,23.7,0.003811944
10/15/1951,23.85,23.85,23.85,23.85,1720000,23.85,0.006329114
10/16/1951,23.77,23.77,23.77,23.77,1730000,23.77,-0.003354298
10/17/1951,23.69,23.69,23.69,23.69,1460000,23.69,-0.003365587
10/18/1951,23.67,23.67,23.67,23.67,1450000,23.67,-0.000844238
10/19/1951,23.32,23.32,23.32,23.32,1990000,23.32,-0.01478665
10/22/1951,22.75,22.75,22.75,22.75,2690000,22.75,-0.024442539
10/23/1951,22.84,22.84,22.84,22.84,2110000,22.84,0.003956044
10/24/1951,23.03,23.03,23.03,23.03,1670000,23.03,0.008318739
