Rank  	City  	State  	Population  	Density (per mi2)  
233	Victorville	California	107,221	879.7
234	Waterbury	Connecticut	107,174	3,750.7
235	Allentown	Pennsylvania	107,117	6,024.4
236	Norman	Oklahoma	106,707	540.6
237	Clearwater	Florida	106,642	4,299.9
238	West Covina	California	106,388	6,526.7
239	Arvada	Colorado	106,328	3,123.9
240	Westminster	Colorado	106,195	3,204.4
241	Elgin	Illinois	104,288	3,779.1
242	South Bend	Indiana	104,069	2,785.2
243	Fairfield	California	103,992	2,554.2
244	Midland	Texas	103,880	1,426.2
245	Pueblo	Colorado	103,805	2,264.3
246	Norwalk	California	103,720	10,649.3
247	Erie	Pennsylvania	103,650	4,714.4
248	Lowell	Massachusetts	103,512	7,620.8
249	Burbank	California	103,286	5,798.6
250	San Buenaventura	California	103,219	4,782.7
251	Pompano Beach	Florida	102,745	3,804.4
252	West Jordan	Utah	102,445	2,211.3
253	Portsmouthd[›]	Virginia	101,967	3,029.1
254	Billings	Montana	101,876	2,665.1
255	Wichita Falls	Texas	101,590	1,473.8
256	Richmond	California	101,454	3,267.2
257	Cambridge	Massachusetts	101,388	15,836.7
258	Berkeley	California	101,377	9,785.0
259	Daly City	California	100,882	13,634.3
260	Green Bay	Wisconsin	100,781	2,330.6
261	High Point	North Carolina	100,432	1,750.1
262	Palm Bay	Florida	100,116	1,247.7
