OBS,data,Open,High,Low,Close,Volume,return
43,11/27/2000,71.4375,72.25,70.625,70.6875,42653800,-0.4633
44,11/28/2000,69.375,69.75,66.8125,67,63723100,2.3268
45,11/29/2000,66.8125,67.125,63.25,65.0625,49140200,1.2744
46,11/30/2000,62,62.0625,57,57.375,98600400,5.4608
47,12/1/2000,58.0625,60.625,56.0625,56.625,54904900,0.5714
48,12/4/2000,57.25,59,55.1875,56.4375,40203600,0.1440
49,12/5/2000,59.1875,60.5,58.25,59.875,50867200,-2.5678
50,12/6/2000,60,60.0625,56.0625,56.6875,45280400,2.3758
51,12/7/2000,53.4375,54,52.25,53.125,72654200,2.8188
52,12/8/2000,54.625,55.875,53.4375,54.4375,60469900,-1.0599
53,12/11/2000,55.5,58.75,55,58.0625,47788100,-2.7998
54,12/12/2000,57.8125,60,56.75,58.375,31553000,-0.2331
55,12/13/2000,60.5,60.5,56.8125,57.25,49180200,0.8451
56,12/14/2000,57.9375,58.7344,55.375,55.5,35600700,1.3483
57,12/15/2000,51.0469,52,47.75,49.1875,58449900,5.2438
58,12/18/2000,49,50,47,47.8125,53593700,1.2313
59,12/19/2000,47.4375,48,44.5,44.8125,60135900,2.8142
60,12/20/2000,42.8125,44,41.375,41.5,74518900,3.3351
61,12/21/2000,40.75,45.125,40.3125,43.4375,81586500,-1.9817
62,12/22/2000,44.75,47.125,44.75,46.4375,54775900,-2.9004
63,12/26/2000,46.875,48.5625,45.875,46.875,33470800,-0.4072
64,12/27/2000,46.125,46.8125,45,46.4375,34501900,0.4072
65,12/28/2000,45.125,46.25,43.875,44.5625,38809600,1.7899
66,12/29/2000,43.9375,45.8125,43,43.375,49988800,1.1730
67,1/2/2001,44.125,45,42.875,43.375,41206600,0.0000
68,1/3/2001,43.1875,48.875,43.125,47.9375,67981100,-4.3436
69,1/4/2001,47.8125,50.5,46.875,48.4375,56198500,-0.4506
70,1/5/2001,48.5,49.875,47.5625,49.125,46707300,-0.6121
71,1/8/2001,48.9375,49.75,46.6875,48.9375,39908800,0.1661
72,1/9/2001,50,52.625,49.75,51.8125,57482700,-2.4793
73,1/10/2001,51,53.8125,50.75,52.875,45115100,-0.8816
74,1/11/2001,53,55.75,52.3125,55,50927400,-1.7112
75,1/12/2001,54.875,55,52.5,53.5,36856000,1.2009
76,1/16/2001,53.375,53.5,51.125,52.5625,34231200,0.7678
77,1/17/2001,53.625,54.875,52.5625,52.9375,36422100,-0.3087
78,1/18/2001,53.6875,56.1875,52.625,55.5,54894400,-2.0530
79,1/19/2001,60,61.4375,58.875,61,104674400,-4.1037
80,1/22/2001,60.75,61,59,60.125,38336500,0.6275
81,1/23/2001,59.75,60.9375,58.9375,60.5625,35147600,-0.3149
82,1/24/2001,61,63.4375,60.75,62.9375,55227500,-1.6706
83,1/25/2001,62.75,64,61.5625,61.8125,42828700,0.7833
84,1/26/2001,61,64.3125,61,64,46540000,-1.5104
85,1/29/2001,63.5625,64.625,63.5,64.5,42491900,-0.3380
86,1/30/2001,64.5,64.75,62.875,63.375,28638400,0.7642
87,1/31/2001,63,63.75,61,61.0625,40949400,1.6143
88,2/1/2001,60.8125,62.625,60.375,62.375,35896400,-0.9236
89,2/2/2001,62.5,63.375,60.75,60.8125,35550000,1.1018
90,2/5/2001,60.75,62.0625,60.25,61.9375,25699600,-0.7961
91,2/6/2001,62.0625,63.8125,61.6875,62.5625,48221000,-0.4360
92,2/7/2001,62,65.0625,61.8125,64.6875,63030900,-1.4506
93,2/8/2001,63.75,64.5,62,62.25,44020600,1.6681
94,2/9/2001,61.3125,61.5625,58.5,59.125,50287600,2.2368
95,2/12/2001,58.8125,59.4375,57.1875,58.75,35644700,0.2763
96,2/13/2001,59.625,61.0625,58.125,58.1875,38035300,0.4178
97,2/14/2001,57.625,59,56.375,58.375,30864200,-0.1397
98,2/15/2001,59,60.1875,57.875,58.8125,32813900,-0.3243
99,2/16/2001,57,58.25,56.125,57.3125,33479200,1.1220
100,2/20/2001,57.375,58.25,55.375,55.875,30365400,1.1032
101,2/21/2001,55.25,58.0625,55.1875,56.25,31973600,-0.2905
102,2/22/2001,56.3125,56.8125,53.875,55.1875,50408200,0.8282
103,2/23/2001,54.4375,57.5,54.3125,56.75,46310300,-1.2125
104,2/26/2001,57.625,59.9375,57.375,59.5625,43968400,-2.1007
105,2/27/2001,59.375,61.1875,58.6719,59.375,49574300,0.1369
106,2/28/2001,59.5625,60.0781,58.1875,59,42304200,0.2752
107,3/1/2001,58.5625,59.5,56.25,59.3594,40890800,-0.2637
108,3/2/2001,57.5,58.125,56.4375,56.6875,39900400,2.0002
109,3/5/2001,57.25,58.625,56.5625,57.4375,24691800,-0.5708
110,3/6/2001,58.625,60,58.375,59.4375,33390900,-1.4865
111,3/7/2001,59.875,61.125,59.3125,60.6875,29871800,-0.9039
112,3/8/2001,60.3125,60.5938,58.4375,59.25,27313000,1.0411
