time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-01-11T15:53:24.600Z,19.3813,-155.2833,1.9,2.2,Ml,,46.8,0.00898315,0.24,hv,hv60619726,2014-01-11T15:59:12.542Z,"7km SW of Volcano, Hawaii",earthquake
2014-01-12T16:13:19.400Z,19.3775,-155.0615,3.2,1.8,md,,251.9999798,0.02694946,0.23,hv,hv60620856,2014-01-12T16:16:36.000Z,"15km S of Fern Acres, Hawaii",earthquake
2014-01-13T06:22:38.300Z,19.4357,-155.3288,5.9,2,Ml,,46.8,0.03593261,0.19,hv,hv60621321,2014-01-13T06:28:25.609Z,"9km W of Volcano, Hawaii",earthquake
2014-01-13T11:02:32.900Z,19.402,-155.2732,2.1,1.9,ml,,50.39999597,0.008983153,0.19,hv,hv60621511,2014-01-13T11:08:14.000Z,"4km SW of Volcano, Hawaii",earthquake
2014-01-13T11:16:23.800Z,19.4127,-155.2785,2.6,2,Md,,50.4,0,0.2,hv,hv60621516,2014-01-13T11:19:29.418Z,"4km WSW of Volcano, Hawaii",earthquake
2014-01-13T16:17:04.700Z,19.2968,-155.2173,0.5,2.5,Ml,,140.4,0.08084838,0.21,hv,hv60621656,2014-03-15T03:39:52.000Z,"14km S of Volcano, Hawaii",earthquake
2014-01-13T16:27:31.100Z,19.3032,-155.2138,0,2.3,Ml,,147.6,0.07186522,0.19,hv,hv60621671,2014-01-13T16:33:19.964Z,"14km S of Volcano, Hawaii",earthquake
2014-01-13T16:27:59.100Z,19.299,-155.2122,1,2.2,Ml,,151.2,0.07186522,0.18,hv,hv60621676,2014-01-13T16:33:50.010Z,"14km S of Volcano, Hawaii",earthquake
2014-01-13T17:00:42.400Z,19.2738,-155.2078,8,1.8,Md,,162,0.01796631,0.2,hv,hv60621696,2014-01-13T17:04:18.388Z,"17km S of Volcano, Hawaii",earthquake
2014-01-13T17:14:23.400Z,19.2923,-155.2098,5.5,2.8,Ml,,136.8,0.01796631,0.11,hv,hv60621701,2014-03-15T03:39:53.000Z,"15km S of Volcano, Hawaii",earthquake
2014-01-13T19:44:35.800Z,19.4093,-155.2658,9.2,1.9,ml,,46.79999626,0.008983153,0.16,hv,hv60621781,2014-01-13T19:50:23.000Z,"3km SW of Volcano, Hawaii",earthquake
2014-01-13T19:48:29.200Z,19.4062,-155.2557,10.3,0.8,Md,,147.6,0.00898315,0.19,hv,hv60621786,2014-01-13T20:03:23.326Z,"3km SW of Volcano, Hawaii",earthquake
2014-01-13T21:35:28.300Z,19.2955,-155.207,8.4,2.5,Ml,,133.2,0.01796631,0.11,hv,hv60621896,2014-03-15T03:40:14.000Z,"15km SSE of Volcano, Hawaii",earthquake
2014-01-13T22:56:09.800Z,19.3035,-155.257,7.7,1.4,Md,,108,0.03593261,0.09,hv,hv60621981,2014-01-16T01:57:24.047Z,"14km S of Volcano, Hawaii",earthquake
2014-01-14T06:08:23.400Z,19.2957,-155.2122,5.7,0.8,Md,,122.4,0.01796631,0.05,hv,hv60622306,2014-01-14T17:05:05.701Z,"15km S of Volcano, Hawaii",earthquake
2014-01-14T06:08:57.200Z,19.2967,-155.2095,7.1,2.3,Ml,,126,0.01796631,0.1,hv,hv60622311,2014-01-15T01:08:15.958Z,"15km SSE of Volcano, Hawaii",earthquake
2014-01-14T15:15:07.200Z,19.4007,-155.2333,3.8,1.9,Ml,,226.8,0.02694946,0.35,hv,hv60622486,2014-01-14T15:20:53.094Z,"3km S of Volcano, Hawaii",earthquake
2014-01-14T18:56:15.500Z,19.8132,-155.591,18.5,2.5,Ml,,97.2,0.07186522,0.12,hv,hv60622586,2014-03-15T03:40:36.000Z,"24km SSE of Waimea, Hawaii",earthquake
2014-01-14T20:23:12.600Z,19.38,-155.3055,0,1.9,md,,118.7999905,0.04491576,0.32,hv,hv60622661,2014-01-14T20:26:19.000Z,"9km SW of Volcano, Hawaii",earthquake
2014-01-14T20:55:54.500Z,19.4373,-155.2093,2.5,1.8,Md,,306,0.05389892,0.28,hv,hv60622731,2014-01-14T20:59:02.112Z,"3km ENE of Volcano, Hawaii",earthquake
2014-01-15T00:08:27.200Z,19.4852,-155.4422,5.7,1,Md,,97.2,0.04491576,0.1,hv,hv60622986,2014-01-15T02:06:12.312Z,"22km WNW of Volcano, Hawaii",earthquake
2014-01-15T05:24:42.100Z,19.4018,-155.2832,8.8,1.9,Ml,,25.2,0.00898315,0.25,hv,hv60623246,2014-01-17T00:06:02.660Z,"5km SW of Volcano, Hawaii",earthquake
2014-01-15T05:46:13.800Z,19.3727,-155.2793,10.5,1.8,Ml,,104.4,0.01796631,0.38,hv,hv60623251,2014-01-15T05:51:58.398Z,"7km SW of Volcano, Hawaii",earthquake
2014-01-15T12:20:35.200Z,19.1638,-155.508,37.8,1.8,Md,,118.8,0.04491576,0.11,hv,hv60623606,2014-01-15T21:42:35.489Z,"5km SSW of Pahala, Hawaii",earthquake
2014-01-15T12:36:01.800Z,19.1633,-155.4985,38.1,1.8,Md,,118.8,0.03593261,0.11,hv,hv60623611,2014-01-15T22:23:10.043Z,"5km SSW of Pahala, Hawaii",earthquake
2014-01-15T13:41:52.600Z,19.4122,-155.2825,9,2.1,ml,,28.7999977,0,0.24,hv,hv60623641,2014-01-17T00:00:38.761Z,"5km WSW of Volcano, Hawaii",earthquake
2014-01-16T04:07:32.400Z,19.0778,-155.3723,34.2,2.7,Ml,,201.6,0.11678099,0.11,hv,hv60624226,2014-03-22T00:05:15.000Z,"18km SE of Pahala, Hawaii",earthquake
2014-01-16T04:20:16.200Z,19.3625,-155.2412,29.8,1.5,Md,,90,0.02694946,0.08,hv,hv60624231,2014-01-16T23:52:59.733Z,"7km S of Volcano, Hawaii",earthquake
2014-01-16T05:26:50.200Z,19.32,-155.1602,4.5,2,Ml,,309.6,0.07186522,0.21,hv,hv60624261,2014-01-16T05:32:36.235Z,"14km SSE of Volcano, Hawaii",earthquake
2014-01-16T17:19:18.000Z,19.3582,-155.4953,9.8,1.1,Md,,57.6,0.03593261,0.11,hv,hv60624501,2014-01-17T01:16:23.771Z,"17km N of Pahala, Hawaii",earthquake
2014-01-16T23:36:54.600Z,19.439,-155.499,11,2.1,ml,,43.19999654,0.05389892,0.12,hv,hv60624746,2014-01-17T02:17:46.000Z,"25km N of Pahala, Hawaii",earthquake
2014-01-17T04:31:06.900Z,19.3718,-155.2417,30.5,1.5,Md,,86.4,0.04491576,0.11,hv,hv60624986,2014-01-18T02:29:33.127Z,"6km S of Volcano, Hawaii",earthquake
2014-01-17T09:17:30.100Z,19.4252,-155.2763,3.5,2.2,ml,,107.9999914,0,0.15,hv,hv60625226,2014-01-17T09:23:14.000Z,"4km W of Volcano, Hawaii",earthquake
2014-01-18T07:21:06.100Z,19.4053,-155.2722,11.4,2,Ml,,32.4,0.00898315,0.28,hv,hv60625721,2014-01-18T15:23:40.440Z,"4km SW of Volcano, Hawaii",earthquake
2014-01-18T07:21:15.000Z,19.4345,-155.259,9.7,1.9,Md,,165.6,0.00898315,0.16,hv,hv60625726,2014-01-18T07:24:22.409Z,"2km W of Volcano, Hawaii",earthquake
2014-01-18T07:36:13.000Z,19.4188,-155.2498,12.5,2,Ml,,118.8,0.00898315,0.24,hv,hv60625751,2014-01-18T07:42:09.649Z,"1km SW of Volcano, Hawaii",earthquake
2014-01-18T10:21:59.700Z,19.4703,-155.45,3.2,2,Ml,,43.2,0.06288207,0.27,hv,hv60625856,2014-01-18T10:27:48.114Z,"22km W of Volcano, Hawaii",earthquake
2014-01-18T12:47:54.100Z,19.4062,-155.2837,1.8,1.7,Ml,,57.6,0.00898315,0.15,hv,hv60625926,2014-01-18T12:53:40.288Z,"5km WSW of Volcano, Hawaii",earthquake
2014-01-18T12:53:17.700Z,19.404,-155.2835,1.2,1.7,Md,,64.8,0.00898315,0.16,hv,hv60625931,2014-01-18T12:56:15.605Z,"5km WSW of Volcano, Hawaii",earthquake
2014-01-18T13:45:13.900Z,19.407,-155.2825,1.6,1.9,ml,,43.19999654,0.008983153,0.15,hv,hv60625951,2014-01-18T13:51:02.000Z,"5km WSW of Volcano, Hawaii",earthquake
2014-01-18T20:56:50.100Z,19.3083,-155.218,1.9,1.7,Md,,90,0.02694946,0.2,hv,hv60626121,2014-01-18T21:00:04.036Z,"13km S of Volcano, Hawaii",earthquake
2014-01-18T21:35:44.400Z,19.4038,-155.2815,1.5,2.2,Ml,,32.4,0.00898315,0.12,hv,hv60626166,2014-01-18T21:41:29.793Z,"5km WSW of Volcano, Hawaii",earthquake
2014-01-19T00:11:05.800Z,19.4557,-155.4295,2.7,2.2,Ml,,46.8,0.05389892,0.25,hv,hv60626286,2014-01-19T00:16:57.125Z,"20km W of Volcano, Hawaii",earthquake
2014-01-19T04:40:21.000Z,19.4052,-155.2785,0,1.9,md,,50.39999597,0.008983153,0.2,hv,hv60626426,2014-01-19T04:43:22.000Z,"5km WSW of Volcano, Hawaii",earthquake
2014-01-19T06:31:50.200Z,19.4168,-155.2583,2.8,2,ml,,115.1999908,0.008983153,0.21,hv,hv60626466,2014-01-19T06:37:35.000Z,"2km SW of Volcano, Hawaii",earthquake
2014-01-19T08:18:16.600Z,19.321,-155.1875,3.5,2,Ml,,100.8,0.05389892,0.15,hv,hv60626551,2014-01-19T08:24:06.205Z,"13km SSE of Volcano, Hawaii",earthquake
2014-01-19T12:03:34.000Z,19.4105,-155.2607,2.8,2.1,Ml,,158.4,0,0.26,hv,hv60626666,2014-01-19T20:12:47.329Z,"3km SW of Volcano, Hawaii",earthquake
2014-01-19T17:23:13.200Z,19.4047,-155.2823,1.6,2,Ml,,57.6,0.00898315,0.13,hv,hv60626776,2014-01-19T17:29:03.452Z,"5km WSW of Volcano, Hawaii",earthquake
2014-01-19T17:23:14.800Z,19.3888,-155.254,0,2,Md,,115.2,0.01796631,0.27,hv,hv60626781,2014-01-19T17:26:28.137Z,"4km SSW of Volcano, Hawaii",earthquake
2014-01-19T17:32:42.700Z,19.408,-155.2777,1.9,1.9,Md,,50.4,0.00898315,0.22,hv,hv60626791,2014-01-19T17:36:14.201Z,"4km WSW of Volcano, Hawaii",earthquake
2014-01-19T22:40:14.200Z,19.2817,-155.0522,41.2,1.8,Md,,216,0.07186522,0.08,hv,hv60627031,2014-01-23T02:45:37.981Z,"24km SW of Leilani Estates, Hawaii",earthquake
2014-01-20T00:32:02.000Z,19.3378,-155.1068,5.5,1.4,Md,,147.6,0.03593261,0.12,hv,hv60627081,2014-01-23T22:22:19.199Z,"17km SE of Volcano, Hawaii",earthquake
2014-01-20T00:50:06.900Z,19.4032,-155.2805,1.1,1.7,Ml,,46.8,0.00898315,0.08,hv,hv60627106,2014-01-23T01:54:51.371Z,"5km SW of Volcano, Hawaii",earthquake
2014-01-20T00:50:07.100Z,19.4037,-155.2798,1.5,1.8,Ml,,32.4,0.00898315,0.12,hv,hv60627101,2014-01-20T00:55:53.650Z,"5km SW of Volcano, Hawaii",earthquake
2014-01-20T01:00:39.400Z,19.4333,-155.3635,6.8,1.9,Md,,162,0.06288207,0.3,hv,hv60627111,2014-01-20T01:03:44.521Z,"13km W of Volcano, Hawaii",earthquake
2014-01-20T15:23:53.000Z,19.5008,-155.437,5.9,1.2,Md,,97.2,0.03593261,0.13,hv,hv60627491,2014-01-23T00:38:42.964Z,"22km WNW of Volcano, Hawaii",earthquake
2014-01-20T20:40:53.500Z,19.4347,-155.2038,32.6,1.6,Md,,122.4,0.03593261,0.08,hv,hv60627606,2014-01-22T01:12:43.847Z,"3km E of Volcano, Hawaii",earthquake
2014-01-21T01:33:09.000Z,19.4637,-155.8932,11.8,1.6,Md,,144,0.03593261,0.17,hv,hv60627891,2014-01-25T01:52:36.604Z,"3km WNW of Honaunau-Napoopoo, Hawaii",earthquake
2014-01-21T11:58:39.300Z,19.4078,-155.2813,1.9,1.8,Md,,39.6,0,0.2,hv,hv60628226,2014-01-21T12:01:49.205Z,"5km WSW of Volcano, Hawaii",earthquake
2014-01-21T15:20:49.900Z,19.3638,-155.282,6.3,2,Ml,,298.8,0.02694946,0.27,hv,hv60628266,2014-01-21T23:23:24.916Z,"8km SSW of Volcano, Hawaii",earthquake
2014-01-21T20:42:36.400Z,19.3598,-155.3358,0,2.5,Ml,,313.2,0.05389892,0.39,hv,hv60628461,2014-01-22T04:45:15.833Z,"12km SW of Volcano, Hawaii",earthquake
2014-01-22T03:19:09.900Z,19.4437,-155.2832,1.7,2.5,Ml,,266.4,0.01796631,0.32,hv,hv60628811,2014-01-22T11:21:56.882Z,"4km WNW of Volcano, Hawaii",earthquake
2014-01-22T10:51:54.200Z,19.3873,-155.3052,5.4,2.1,ml,,280.7999775,0.008983153,0.28,hv,hv60629101,2014-01-22T18:54:28.862Z,"8km SW of Volcano, Hawaii",earthquake
2014-01-22T14:30:47.700Z,19.4278,-155.3152,5.3,1,Md,,90,0.02694946,0.06,hv,hv60629166,2014-01-22T22:15:01.959Z,"8km W of Volcano, Hawaii",earthquake
2014-01-23T21:02:58.900Z,19.1377,-155.5825,49.6,2,Md,,262.8,0.10779783,0.11,hv,hv60629656,2014-01-24T00:18:38.338Z,"13km SW of Pahala, Hawaii",earthquake
2014-01-24T00:35:25.200Z,19.3417,-155.115,7.8,1.4,Md,,136.8,0.02694946,0.1,hv,hv60629706,2014-01-25T00:45:04.082Z,"16km SE of Volcano, Hawaii",earthquake
2014-01-24T01:19:02.200Z,19.7887,-155.3857,25.4,2.2,Ml,,97.2,0.06288207,0.11,hv,hv60629721,2014-01-24T02:58:06.974Z,"29km W of Pepeekeo, Hawaii",earthquake
2014-01-24T05:29:14.600Z,19.4727,-155.7887,10.9,1.5,Md,,104.4,0.08983153,0.14,hv,hv60629776,2014-01-24T22:33:58.523Z,"8km ENE of Honaunau-Napoopoo, Hawaii",earthquake
2014-01-24T15:23:11.500Z,19.795,-155.3973,25.5,1.7,Md,,104.4,0.05389892,0.11,hv,hv60630066,2014-01-24T23:04:27.928Z,"30km W of Pepeekeo, Hawaii",earthquake
2014-01-25T14:06:13.300Z,19.3462,-155.2163,8.2,2.3,Ml,,61.2,0.02694946,0.08,hv,hv60630761,2014-01-28T02:29:41.161Z,"9km SSE of Volcano, Hawaii",earthquake
2014-01-25T21:21:48.900Z,19.2017,-155.4497,0.2,2.4,Ml,,122.4,0.04491576,0.22,hv,hv60630971,2014-01-25T21:27:36.140Z,"3km E of Pahala, Hawaii",earthquake
2014-01-26T03:50:56.700Z,19.3702,-155.2422,30.3,2,Md,,50.4,0,0.17,hv,hv60631356,2014-01-26T03:54:19.629Z,"6km S of Volcano, Hawaii",earthquake
2014-01-26T04:11:38.300Z,19.39,-155.2395,29.7,2.2,Md,,43.2,0.01796631,0.2,hv,hv60631361,2014-01-26T04:14:57.061Z,"4km S of Volcano, Hawaii",earthquake
2014-01-26T13:13:51.700Z,19.7857,-155.3973,23.5,2,Md,,126,0.05389892,0.15,hv,hv60631556,2014-01-26T13:17:12.792Z,"30km W of Pepeekeo, Hawaii",earthquake
2014-01-26T17:16:52.100Z,19.4333,-154.903,6.1,1.2,Md,,190.8,0.02694946,0.04,hv,hv60631601,2014-01-31T18:53:12.026Z,"4km SSE of Leilani Estates, Hawaii",earthquake
2014-01-26T18:30:37.400Z,19.3757,-155.2473,30.1,1.8,Md,,64.8,0.00898315,0.2,hv,hv60631616,2014-01-26T18:33:58.834Z,"6km S of Volcano, Hawaii",earthquake
2014-01-27T09:16:22.900Z,19.3913,-155.253,31.8,1.5,Md,,50.4,0.01796631,0.1,hv,hv60631856,2014-01-31T19:02:53.116Z,"4km SSW of Volcano, Hawaii",earthquake
2014-01-27T10:51:57.200Z,19.2798,-155.1088,40.7,1.9,Md,,190.8,0.01796631,0.22,hv,hv60631901,2014-01-27T10:55:43.671Z,"21km SE of Volcano, Hawaii",earthquake
2014-01-27T11:12:22.400Z,19.8293,-155.6463,32.5,2,Md,,90,0.02694946,0.12,hv,hv60631906,2014-01-30T02:33:53.381Z,"19km SE of Waikoloa, Hawaii",earthquake
2014-01-27T12:23:50.500Z,19.3353,-155.064,6.8,3.2,Ml,,169.2,0.06288207,0.13,hv,hv60631926,2014-03-27T18:15:44.000Z,"19km S of Fern Acres, Hawaii",earthquake
